,t1,t2,t3,velocidade_t1,velocidade_t2,velocidade_t3
0.0,0.0,0.0,0.0,,,
0.1,12.14,11.38,11.32,0.008237232289950576,0.008787346221441124,0.0088339222614841
0.2,25.26,23.21,22.61,0.00791765637371338,0.008616975441619991,0.008845643520566122
0.3,38.38,35.26,34.01,0.00781657113079729,0.008508224617129892,0.008820935019112026
0.4,50.88,46.59,45.25,0.007861635220125786,0.008585533376261001,0.008839779005524863
