,Ângulo: 10º,Ângulo: 20º,Ângulo: 30º,Ângulo: 40º
100mm,0.35111111111111093,0.2155555555555555,0.024444444444444414,0.06000000000000005
200mm,1.0444444444444443,0.20222222222222244,0.1622222222222224,0.2288888888888887
300mm,1.6644444444444464,0.5022222222222226,6.126666666666667,0.06444444444444444
400mm,2.204444444444443,0.6911111111111101,0.22888888888888914,0.14888888888888877
Média de Incertezas,1.3161111111111112,0.4027777777777777,1.6355555555555557,0.12555555555555548
