,t1,t2,t3,velocidade_t1,velocidade_t2,velocidade_t3
0.0,0.0,0.0,0.0,,,
0.1,2.65,2.7,2.64,0.03773584905660378,0.037037037037037035,0.03787878787878788
0.2,5.18,5.49,5.6,0.038610038610038616,0.03642987249544627,0.03571428571428572
0.3,8.06,8.33,8.36,0.03722084367245657,0.03601440576230492,0.03588516746411483
0.4,10.56,11.09,11.06,0.03787878787878788,0.03606853020739405,0.03616636528028933
