,t1,t2,t3,velocidade_t1,velocidade_t2,velocidade_t3
0.0,0.0,0.0,0.0,,,
0.1,4.72,4.81,4.28,0.021186440677966104,0.02079002079002079,0.02336448598130841
0.2,9.53,9.66,9.14,0.020986358866736624,0.020703933747412008,0.02188183807439825
0.3,14.26,15.13,13.74,0.021037868162692847,0.01982815598149372,0.021834061135371178
0.4,18.92,20.44,18.85,0.021141649048625793,0.019569471624266144,0.021220159151193633
