,t1,t2,t3,velocidade_t1,velocidade_t2,velocidade_t3
0.0,0.0,0.0,0.0,,,
0.1,1.46,1.59,1.6,0.06849315068493152,0.06289308176100629,0.0625
0.2,3.12,3.51,2.87,0.06410256410256411,0.05698005698005699,0.06968641114982578
0.3,4.71,4.87,4.74,0.06369426751592357,0.061601642710472276,0.06329113924050632
0.4,6.37,6.52,6.11,0.06279434850863423,0.06134969325153375,0.06546644844517185
